"id","flow_gpd","configuration_name","drainfield_size","unobstructed_area"
513,100,"Bed",167,251
514,100,"Trench",125,188
515,100,"Bed with ATU",126,189
516,100,"Trench with ATU",94,141
517,100,"Bed split in half",84,126
518,100,"Trench split in half",63,95
519,100,"Bed split in half with ATU",63,95
520,100,"Trench split in half with ATU",47,71
521,200,"Bed",334,501
522,200,"Trench",250,375
523,200,"Bed with ATU",251,377
524,200,"Trench with ATU",188,282
525,200,"Bed split in half",167,251
526,200,"Trench split in half",125,188
527,200,"Bed split in half with ATU",126,189
528,200,"Trench split in half with ATU",94,141
529,300,"Bed",500,750
530,300,"Trench",375,563
531,300,"Bed with ATU",375,563
532,300,"Trench with ATU",282,423
533,300,"Bed split in half",250,375
534,300,"Trench split in half",188,282
535,300,"Bed split in half with ATU",188,282
536,300,"Trench split in half with ATU",141,212
537,400,"Bed",667,1001
538,400,"Trench",500,750
539,400,"Bed with ATU",501,752
540,400,"Trench with ATU",375,563
541,400,"Bed split in half",334,501
542,400,"Trench split in half",250,375
543,400,"Bed split in half with ATU",251,377
544,400,"Trench split in half with ATU",188,282
545,460,"Bed",767,1151
546,460,"Trench",575,863
547,460,"Bed with ATU",576,864
548,460,"Trench with ATU",432,648
549,460,"Bed split in half",384,576
550,460,"Trench split in half",288,432
551,460,"Bed split in half with ATU",288,432
552,460,"Trench split in half with ATU",216,324
553,520,"Bed",867,1301
554,520,"Trench",650,975
555,520,"Bed with ATU",651,977
556,520,"Trench with ATU",488,732
557,520,"Bed split in half",434,651
558,520,"Trench split in half",325,488
559,520,"Bed split in half with ATU",326,489
560,520,"Trench split in half with ATU",244,366
561,580,"Bed",967,1451
562,580,"Trench",725,1088
563,580,"Bed with ATU",726,1089
564,580,"Trench with ATU",544,816
565,580,"Bed split in half",484,726
566,580,"Trench split in half",363,545
567,580,"Bed split in half with ATU",363,545
568,580,"Trench split in half with ATU",272,408
569,640,"Bed",1067,1601
570,640,"Trench",800,1200
571,640,"Bed with ATU",801,1202
572,640,"Trench with ATU",600,900
573,640,"Bed split in half",534,801
574,640,"Trench split in half",400,600
575,640,"Bed split in half with ATU",401,602
576,640,"Trench split in half with ATU",300,450
577,700,"Bed",1167,1751
578,700,"Trench",875,1313
579,700,"Bed with ATU",876,1314
580,700,"Trench with ATU",657,986
581,700,"Bed split in half",584,876
582,700,"Trench split in half",438,657
583,700,"Bed split in half with ATU",438,657
584,700,"Trench split in half with ATU",329,494
585,760,"Bed",1267,1901
586,760,"Trench",950,1425
587,760,"Bed with ATU",951,1427
588,760,"Trench with ATU",713,1070
589,760,"Bed split in half",634,951
590,760,"Trench split in half",475,713
591,760,"Bed split in half with ATU",476,714
592,760,"Trench split in half with ATU",357,536
593,820,"Bed",1367,2051
594,820,"Trench",1025,1538
595,820,"Bed with ATU",1026,1539
596,820,"Trench with ATU",769,1154
597,820,"Bed split in half",684,1026
598,820,"Trench split in half",513,770
599,820,"Bed split in half with ATU",513,770
600,820,"Trench split in half with ATU",385,578
601,880,"Bed",1467,2201
602,880,"Trench",1100,1650
603,880,"Bed with ATU",1101,1652
604,880,"Trench with ATU",825,1238
605,880,"Bed split in half",734,1101
606,880,"Trench split in half",550,825
607,880,"Bed split in half with ATU",551,827
608,880,"Trench split in half with ATU",413,620
609,940,"Bed",1567,2351
610,940,"Trench",1175,1763
611,940,"Bed with ATU",1176,1764
612,940,"Trench with ATU",882,1323
613,940,"Bed split in half",784,1176
614,940,"Trench split in half",588,882
