"id","bedrooms","square_footage_min","square_footage_max","flow_gpd"
1,1,0,750,100
2,1,751,1200,200
3,1,1201,2250,300
4,1,2251,3300,400
5,1,3301,4051,460
6,1,4052,4801,520
7,1,4802,5551,580
8,1,5552,6301,640
9,1,6302,7051,700
10,1,7052,7801,760
11,1,7802,8551,820
12,1,8552,9301,880
13,1,9302,10051,940
14,1,10052,10801,1000
15,1,10802,11551,1060
16,1,11552,12301,1120
17,1,12302,13051,1180
18,1,13052,13801,1240
19,1,13802,14551,1300
20,1,14552,15301,1360
21,1,15302,16051,1420
22,1,16052,16801,1480
23,1,16802,17551,1540
24,1,17552,18301,1600
25,1,18302,19051,1660
26,1,19052,19801,1720
27,1,19802,20551,1780
28,1,20552,21301,1840
29,1,21302,22051,1900
30,1,22052,22801,1960
31,1,22802,23551,2020
32,1,23552,24301,2080
33,2,0,750,200
34,2,751,1200,200
35,2,1201,2250,300
36,2,2251,3300,400
37,2,3301,4051,460
38,2,4052,4801,520
39,2,4802,5551,580
40,2,5552,6301,640
41,2,6302,7051,700
42,2,7052,7801,760
43,2,7802,8551,820
44,2,8552,9301,880
45,2,9302,10051,940
46,2,10052,10801,1000
47,2,10802,11551,1060
48,2,11552,12301,1120
49,2,12302,13051,1180
50,2,13052,13801,1240
51,2,13802,14551,1300
52,2,14552,15301,1360
53,2,15302,16051,1420
54,2,16052,16801,1480
55,2,16802,17551,1540
56,2,17552,18301,1600
57,2,18302,19051,1660
58,2,19052,19801,1720
59,2,19802,20551,1780
60,2,20552,21301,1840
61,2,21302,22051,1900
62,2,22052,22801,1960
63,2,22802,23551,2020
64,2,23552,24301,2080
65,3,0,750,300
66,3,751,1200,300
67,3,1201,2250,300
68,3,2251,3300,400
69,3,3301,4051,460
70,3,4052,4801,520
71,3,4802,5551,580
72,3,5552,6301,640
73,3,6302,7051,700
74,3,7052,7801,760
75,3,7802,8551,820
76,3,8552,9301,880
77,3,9302,10051,940
78,3,10052,10801,1000
79,3,10802,11551,1060
80,3,11552,12301,1120
81,3,12302,13051,1180
82,3,13052,13801,1240
83,3,13802,14551,1300
84,3,14552,15301,1360
85,3,15302,16051,1420
86,3,16052,16801,1480
87,3,16802,17551,1540
88,3,17552,18301,1600
89,3,18302,19051,1660
90,3,19052,19801,1720
91,3,19802,20551,1780
92,3,20552,21301,1840
93,3,21302,22051,1900
94,3,22052,22801,1960
95,3,22802,23551,2020
96,3,23552,24301,2080
97,4,0,750,400
98,4,751,1200,400
99,4,1201,2250,400
100,4,2251,3300,400
101,4,3301,4051,460
102,4,4052,4801,520
103,4,4802,5551,580
104,4,5552,6301,640
105,4,6302,7051,700
106,4,7052,7801,760
107,4,7802,8551,820
108,4,8552,9301,880
109,4,9302,10051,940
110,4,10052,10801,1000
111,4,10802,11551,1060
112,4,11552,12301,1120
113,4,12302,13051,1180
114,4,13052,13801,1240
115,4,13802,14551,1300
116,4,14552,15301,1360
117,4,15302,16051,1420
118,4,16052,16801,1480
119,4,16802,17551,1540
120,4,17552,18301,1600
121,4,18302,19051,1660
122,4,19052,19801,1720
123,4,19802,20551,1780
124,4,20552,21301,1840
125,4,21302,22051,1900
126,4,22052,22801,1960
127,4,22802,23551,2020
128,4,23552,24301,2080
