"id","min_flow_gpd","max_flow_gpd","septic_tank_min_capacity","pump_tank_min_residential","pump_tank_min_commercial"
33,0,200,900,150,225
34,201,300,900,225,375
35,301,400,1050,300,450
36,401,500,1200,375,600
37,501,600,1350,450,600
38,601,700,1500,525,750
39,701,800,1650,600,900
40,801,1000,1900,750,1050
41,1001,1250,2200,900,1200
42,1251,1750,2700,1350,1900
43,1751,2500,3200,1650,2700
44,2501,3000,3700,1900,3000
45,3001,3500,4300,2200,3000
46,3501,4000,4800,2700,3000
47,4001,4500,5300,2700,3000
48,4501,5000,5800,3000,3000
