"id","manufacturer_id","tank_number","wall_thickness","liquid_depth","gallons_liquid","gallons_total","category","use_type","family","width","length","top_depth","exterior_depth","inlet_outlet_drop","approval_date","remarks","tank_type","in_out_drop","effective_gallons"
196,38,"70-109-08S-C3","0.25","42.00",750,911,"C3",NULL,NULL,"60.00","96.00",NULL,NULL,NULL,"2004-07-22","Polyethylene-monolithic. Reviewed 9/5/19.","septic","3.00",750
197,38,"70-109-09S-C3","0.25","42.00",900,1059,"C3",NULL,NULL,"60.00","111.00",NULL,NULL,NULL,"2004-07-22","Polyethylene-monolithic. Reviewed 9/5/19.","septic","3.00",900
214,35,"70-143-03S-C3","0.50","38.00",NULL,310,"C3",NULL,NULL,"47.00","50.00",NULL,NULL,NULL,NULL,"Graywater, laundry, or pump tank, or part of a septic tank in
  series. Pump tank may be manufactured without outlet hole. TW-300","dosing",NULL,250
215,35,"70-143-04S-C3","0.70","40.00",NULL,417,"C3",NULL,NULL,"59.60","59.60",NULL,NULL,NULL,NULL,"Can be used as a pump tank only. Insufficient airspace to be
   used as septic tank or laundry tank. Pump tank may be manufactured without outlet hole. TW-375","dosing",NULL,375
216,35,"70-143-05S-C3","0.50","40.00",NULL,500,"C3",NULL,NULL,"60.40","62.50",NULL,NULL,NULL,NULL,"Graywater, laundry, or pump tank, or part of a septic tank
  in series. Pump tank may be manufactured without outlet hole. TW-500","dosing",NULL,425
217,35,"70-143-09D-C3","0.70","40.00",NULL,1060,"C3",NULL,NULL,"66.00","96.20",NULL,NULL,NULL,NULL,"Dual compartment polyethylene tank with two internal
  stiffeners and baffle. baffle supported by two horizontal beams. TW-900","septic","2.75",900
218,35,"70-143-09S-C3","0.70","40.00",NULL,1060,"C3",NULL,NULL,"66.00","96.20",NULL,NULL,NULL,NULL,"Single compartment polyethylene tank with two internal
  stiffeners. TW-900","septic","2.75",900
219,35,"70-143-10D-C3","0.70","40.00",NULL,1217,"C3",NULL,NULL,"66.00","109.50",NULL,NULL,NULL,NULL,"Dual compartment polyethylene tank with two internal
  stiffeners and baffle attached to stiffener. TW-1050","septic","2.75",1050
220,35,"70-143-10S-C3","0.70","40.00",NULL,1217,"C3",NULL,NULL,"66.00","109.50",NULL,NULL,NULL,NULL,"Single compartment polyethylene tank with two internal
  stiffeners. TW-1050","septic","2.75",1050
221,35,"70-143-11D-C4","0.20","44.00",NULL,1280,"C4",NULL,NULL,"62.20","127.00",NULL,NULL,NULL,NULL,"Dual compartment polypropylene tank with internal two vertical
  stiffeners and six horizontal stiffeners, and baffle attached to stiffener. Midseam length and width. Use of side
   inlets/outlets not allowed in Florida. Minimum burial depth is six inches. IM-1060","septic","2.00",1090
222,35,"70-143-11D-C3","0.20","44.00",NULL,1280,"C3",NULL,NULL,"62.20","127.00",NULL,NULL,NULL,NULL,"Dual compartment polypropylene tank with internal two vertical
  stiffeners and baffle attached to stiffener. Midseam length and width. Use of side inlets/outlets not allowed in
  Florida. Minimum burial depth is six inches. Approximate top length and width. IM-1060","septic","3.00",1090
223,35,"70-143-11S-C4","0.20","44.00",NULL,1280,"C4",NULL,NULL,"62.20","127.00",NULL,NULL,NULL,NULL,"Single compartment polypropylene tank with internal two
  vertical stiffeners and six horizontal stiffeners. Midseam length and width. Use of side inlets/outlets not
  allowed in Florida. Minimum burial depth is six inches. IM-1060","septic","2.00",1090
224,35,"70-143-11S-C3","0.20","44.00",NULL,1280,"C3",NULL,NULL,"62.20","127.00",NULL,NULL,NULL,NULL,"Single compartment polypropylene tank with internal two
  vertical stiffeners. Midseam length and width. Use of side inlets/outlets not allowed in Florida. Minimum burial
  depth is six inches. Approximate top length and width. IM-1060","septic","3.00",1090
225,35,"70-143-12D-C4","0.20","44.00",NULL,1480,"C4",NULL,NULL,"61.70","152.30",NULL,NULL,NULL,NULL,"Dual compartment polypropylene tank with four vertical
  stiffeners and baffle attached to stiffener. Midseam length and width. Use of side inlets/outlets not allowed in
  Florida. Minimum burial depth is 6 inches, maximum 48 inches. IM-1250","septic","2.00",1278
226,35,"70-143-12S-C4","0.20","44.00",NULL,1480,"C4",NULL,NULL,"61.70","152.30",NULL,NULL,NULL,NULL,"Single compartment polypropylene tank with four vertical
  stiffeners. Midseam length and width. Use of side inlets/outlets not allowed in Florida. Burial depth minimum 6
  inches, maximum 48 inches. IM-1250","septic","2.00",1278
227,35,"70-143-13D-C3","0.70","40.00",NULL,1451,"C3",NULL,NULL,"66.00","129.50",NULL,NULL,NULL,NULL,"Dual compartment polyethylene tank with three internal
  stiffeners and baffle attached to stiffener. TW-1250","septic","2.75",1250
228,35,"70-143-13S-C3","0.70","40.00",NULL,1451,"C3",NULL,NULL,"66.00","129.50",NULL,NULL,NULL,NULL,"Single compartment polyethylene tank with three internal
  stiffeners. TW-1250","septic","2.75",1250
198,38,"70-109-11S-C3","0.25","42.00",1050,1225,"C3",NULL,NULL,"60.00","126.00",NULL,NULL,NULL,"2004-07-22","Polyethylene-monolithic stiffening. Reviewed 9/5/19.","septic","3.00",1050
199,38,"70-109-13S-C3","0.25","42.00",1250,1464,"C3",NULL,NULL,"60.00","146.00",NULL,NULL,NULL,"2005-07-14","Polyethylene-monolithic stiffening. Reviewed 9/5/19.","septic","3.00",1250
200,38,"70-109-16S-C3","0.25","42.00",1500,1745,"C3",NULL,NULL,"60.00","175.00",NULL,NULL,NULL,"2005-07-14","Polyethylene-monolithic stiffening. Reviewed 9/5/19.","septic","3.00",1500
201,38,"70-109-20S-C3","0.33","40.00",900,NULL,"C3",NULL,NULL,"60.00","111.00",NULL,NULL,NULL,"2009-04-16","Polyethylene tank----Wall thickness is nominal----tank shot
  weight is nominal 410 lbs. Reviewed 9/5/19.","septic","2.00",900
202,38,"70-109-21S-C3","0.33","40.00",1050,NULL,"C3",NULL,NULL,"60.00","126.00",NULL,NULL,NULL,"2009-04-16","Polyethylene tank----Wall thickness is nominal----tank shot
  weight is nominal 450 lbs. Reviewed 9/5/19.","septic","2.00",1050
203,38,"70-109-22S-C3","0.33","40.00",1250,NULL,"C3",NULL,NULL,"60.00","146.00",NULL,NULL,NULL,"2009-04-16","Polyethylene tank----Wall thickness is nominal----tank shot
  weight is nominal 550 lbs. Reviewed 9/5/19.","septic","2.00",1250
